,B a h a s a   M e l a y u   L e m a t a n g   d i a l e k   M e g a n g,B a h a s a   M e l a y u   L e m a t a n g   d i a l e k   T a n j u n g,T e r j e m a h a n
0,aban,remang,awan
1,baleq,aleh,kembali
2,ngedau,nguring,berbaring
3,nyembab,mengkaq,bengkak
4,ngoq,lawan,dan
5,pedaq pehaq,paraq,dekat
6,tecancang,tegaq,diri
7,ajoqke,julaq,dorong
8,kusuti,kasak,gosok
9,sabu,kucam,hapus
10,mbiq,mbuq,ibu
11,hendung,keleman,kabut
12,ule'nye,kerne,sebab
13,kama,kedelat,kotor
14,sawat,gotok,lempar
15,liou,ayiq liyur,ludah
16,hasitu,urang tu,mereka
17,peha,pra,peras
18,betine,betine,perempuan
19,pusat,ligat,pusar
20,kutut,unjuq,tarik
21,deqde,daq,tidak
22,ayeq,ayiq,air
